time1,cali1,time2,cali2
17:57:53,-219.58,17:58:52,3.72
17:57:53,-219.56,17:58:52,3.62
17:57:53,-219.54,17:58:52,3.44
17:57:53,-219.58,17:58:52,3.31
17:57:53,-219.56,17:58:52,3.05
17:57:53,-219.56,17:58:52,2.92
17:57:53,-219.58,17:58:52,2.75
17:57:53,-219.58,17:58:53,2.63
17:57:53,-219.6,17:58:53,2.64
17:57:53,-219.6,17:58:53,2.65
17:57:53,-219.6,17:58:53,2.83
17:57:53,-219.6,17:58:53,3.28
17:57:53,-219.54,17:58:53,3.39
17:57:53,-219.56,17:58:53,3.24
17:57:53,-219.56,17:58:53,2.9
17:57:53,-219.56,17:58:53,3.17
17:57:53,-219.54,17:58:53,3.04
17:57:53,-219.54,17:58:54,3.04
17:57:53,-219.54,17:58:54,2.66
17:57:53,-219.54,17:58:54,1.91
17:57:53,-219.54,17:58:54,1.97
17:57:53,-219.54,17:58:54,1.85
17:57:53,-219.54,17:58:54,1.78
17:57:53,-219.52,17:58:54,1.85
17:57:53,-219.52,17:58:54,1.95
17:57:53,-219.54,17:58:54,2.27
17:57:53,-219.56,17:58:54,3.2
17:57:53,-219.54,17:58:55,4.43
17:57:53,-219.52,17:58:55,4.55
17:57:53,-219.5,17:58:55,4.57
17:57:53,-219.5,17:58:55,4.28
17:57:53,-219.5,17:58:55,4.4
17:57:53,-219.52,17:58:55,4.72
17:57:53,-219.52,17:58:55,4.35
17:57:53,-219.5,17:58:55,4.4
17:57:53,-219.48,17:58:55,4.27
17:57:53,-219.52,17:58:55,4.5
17:57:53,-219.52,17:58:56,4.51
17:57:53,-219.52,17:58:56,4.68
17:57:53,-219.54,17:58:56,4.54
17:57:53,-219.54,17:58:56,4.49
17:57:53,-219.54,17:58:56,4.46
17:57:53,-219.52,17:58:56,4.38
17:57:53,-219.52,17:58:56,4.35
17:57:53,-219.54,17:58:56,4.33
17:57:53,-219.54,17:58:56,4.43
17:57:53,-219.54,17:58:56,4.51
17:57:53,-219.52,17:58:57,4.45
17:57:53,-219.56,17:58:57,4.34
17:57:53,-219.56,17:58:57,4.36
17:57:53,-219.6,17:58:57,4.38
17:57:53,-219.6,17:58:57,4.44
17:57:53,-219.58,17:58:57,4.47
17:57:53,-219.6,17:58:57,4.4
17:57:53,-219.6,17:58:57,4.37
17:57:53,-219.58,17:58:57,4.37
17:57:53,-219.6,17:58:57,4.31
17:57:53,-219.6,17:58:58,4.36
17:57:53,-219.62,17:58:58,4.36
